0, kkyi, 11, 23988716896251, 3228, 942
1, bpypxo, 371, 89088960013200, 3367, 157
2, joxim, 281, 93810598334337, 2595, 769
3, ay, 371, 34969243080980, 1110, 758
4, tudhlp, 251, 62520793306720, 3604, 736
5, vuuyak, 71, 51965974453341, 2433, 318
6, totmp, 561, 09674545208207, 4299, 488
7, ljtmvyo, 211, 66552626945781, 3427, 336
8, ehkwws, 491, 25403767039348, 344, 725
9, rejlqm, 431, 53312440599831, 6824, 115
10, ua, 551, 63144949803323, 5542, 291
11, gdiwk, 271, 02546075807814, 1821, 708
12, xa, 91, 51672856598806, 881, 880
13, cb, 231, 55024643654738, 6776, 882
14, vyixpzj, 121, 02846791568071, 1872, 84
15, ew, 41, 86560467294412, 5749, 499
16, kurqb, 461, 74588238284649, 2557, 310
17, vqbchx, 11, 66163122652144, 524, 170
18, cosdiu, 511, 73168337857720, 3632, 233
19, vhve, 91, 32331425789110, 3880, 120
20, mwvfu, 481, 41883589117902, 237, 731
21, yj, 571, 57683255494635, 944, 861
22, qnnpkd, 191, 48028872355461, 3359, 853
23, tgc, 241, 12810409593914, 1704, 325
24, vt, 411, 83719505438356, 1363, 812
25, qxuzjfpt, 71, 59128686400402, 1189, 15
26, sfdleb, 221, 17769386197462, 4109, 763
27, eat, 201, 50132339274547, 5785, 723
28, dryrfz, 591, 46959062254318, 5291, 70
29, kiwxqfb, 261, 27363735630224, 2631, 855
30, cyadyh, 381, 81695031336182, 1702, 714
31, dmfpf, 131, 37549043199929, 5827, 753
32, qykl, 61, 56439360227961, 4537, 829
33, vqbgw, 311, 92581409811025, 691, 873
34, ydjogriv, 361, 43883979595256, 669, 164
35, egiftlz, 221, 68817615305237, 1535, 298
36, snpooo, 241, 38870959012378, 1939, 580
37, y, 251, 80682408463323, 5792, 550
38, u, 251, 75101698969594, 1264, 784
39, op, 381, 12119911485339, 4249, 360
40, knbm, 181, 42849769185717, 3438, 269
41, vqtxxvcj, 01, 08615196315745, 535, 526
42, vvzeggvsutk, 501, 13552970709715, 2880, 549
43, azvnbmk, 171, 09524756627273, 2640, 45
44, datylg, 461, 93815488516531, 3067, 28
45, zntyjwopc, 351, 72844975067088, 4744, 602
46, vaqchw, 71, 96551496736406, 1048, 233
47, meqfr, 191, 19144116255918, 6222, 755
48, vz, 301, 17186031899574, 1378, 479
49, srglxt, 431, 37177604343616, 1559, 136
50, y, 241, 31294275187599, 2070, 134
51, lfp, 551, 84755828724439, 2742, 333
52, hv, 381, 31408935587462, 6927, 10
53, zgwwua, 561, 80600021459681, 2676, 630
54, wnozpe, 491, 39644653671321, 5897, 926
55, my, 311, 65985342445899, 5111, 739
56, vqlb, 11, 66667518104759, 2245, 199
57, mstyfg, 461, 96398413257922, 4876, 673
58, nlt, 171, 60375430063040, 3348, 272
59, ecjb, 341, 21444184638280, 6530, 270
60, tujpg, 541, 88746278785361, 1337, 753
61, jbcqw, 201, 65539758628196, 5346, 916
62, ye, 261, 05908752917305, 1770, 678
63, jre, 551, 29923938891582, 6199, 725
64, xlpvfhx, 281, 51979092580153, 2271, 795
65, hapfl, 11, 09798738027675, 4994, 721
66, ajzhfyx, 111, 48418503557540, 1928, 989
67, tqd, 471, 19716551573298, 4125, 494
68, qmwt, 581, 36486848224841, 2359, 902
69, lxx, 461, 52146634229496, 5000, 483
70, ft, 201, 20513638558624, 2379, 240
71, dy, 281, 31152912171422, 4918, 291
72, lslol, 201, 08830215007797, 6134, 773
73, qrtvrl, 481, 24200117615602, 5006, 91
74, zwgrl, 531, 13145718290219, 4111, 387
75, rgcoj, 301, 80869796340787, 1479, 278
76, mpb, 131, 25109464738245, 3807, 246
77, na, 301, 58354406307137, 2926, 679
78, dj, 211, 31430981618594, 34, 992
79, gqadffn, 311, 42354964246233, 1395, 529
80, lq, 231, 38011264657537, 3747, 15
