ID_Client,ID_Location,ID_ClientCategory,FIO,Register_Date,MoneySpent,Purchases_Count,Adress,Birthday,Sex
0,2,8,áýðûõáëýýðþüýùý,2016-1-24,4604,3,üçþåñýâìôõõíúÿçûú,2016-3-10,æ
1,25,2,åäå÷ùõæöëæçóç îûøê,2013-3-1,2648,7,ñþðåøïæñûñûöìúð,2013-12-17,ì
2,40,7,úöîãûèïýóøàþòýúìåâ,2013-5-27,829,18,ïìüøôøîñûÿåçúüìêç,2015-4-8,æ
3,18,8,àõý á÷ éôÿñüìý,2013-12-3,1655,11,ãë ïçïåýüîâ,2013-1-26,ì
4,40,9,ÿïôóòôãúêå êþêôìõñêêô,2013-12-8,600,10,èüéôóãåç ûù,2014-4-4,æ
5,35,4,õûòõýîâôèùÿìûùð ÷,2015-6-7,1191,16,ðû ûñøàèüâ ô,2014-7-17,ì
6,2,9,æö÷úþçâúôúâïçèããõéöóùúö,2013-11-2,3757,13,ëéîýëìùïèüâððèðéäø,2016-4-12,ì
7,8,10,íàíüýþöåáâíîûþó íëô÷áàöõ,2013-9-2,4313,17,öòÿóóþúáðø÷óå ëøæûú,2015-3-14,æ
8,27,4,å÷úêåæ åüëùèòþâ,2013-12-18,3070,8,ûúóýîü úà èäñ,2016-12-22,æ
9,5,4,úøðéïåõýëêýâýíîëæ,2015-3-23,235,14,ôôîùêè öéâíëíôáíúùõ,2016-9-11,ì
10,40,3,ãçìáåüôæ ÿõãûüùþöéôòó,2014-9-28,3520,3,øëèüÿôêêÿÿîÿäïéåàä,2015-9-5,æ
11,21,2,âìùðöðåúìõäúöóîéúúäáîæõ,2014-1-2,1540,12,ÿðàííÿþñéòìùàæêø,2013-3-22,ì
12,38,7,ñãæçëùöõ÷èàôáõêçîúúà,2016-12-16,67,9,âì ûêäìéåôñé÷ùä,2015-11-20,æ
13,34,5,âìíìÿ õèãùéöæèë÷öþèã,2016-1-18,40,14,èîðûðýåâåéöèðûï,2015-2-6,ì
14,12,1,ååîåïóäøáïðõøúõóí æúöûâéå,2016-8-10,3992,5,üòþüêùêéõöñõàèâùþôá,2016-10-13,ì
15,23,10,áåæùøúùõæäëûõóáë,2014-12-14,3712,7,ôðåúèåûûí äò,2014-4-21,ì
16,33,8,þãéâýñè÷õüûãéæÿ,2014-4-10,4681,9,îñâé÷ öþýæíìöçïúñò,2014-7-26,æ
17,25,9,úððûæô÷áäûîêùåëìë÷ûåëã,2013-3-19,1173,10,æáíäþ ÿòâùõæóëðö,2016-4-12,ì
18,2,6,àüöàóóãø õðâøéáââà,2013-1-26,4213,10,üúàüú ëò÷íéî,2015-10-14,ì
19,3,4,é÷úãÿñþàîíæàíåñïâ ìñÿýè,2014-7-21,4961,20,þøöûùïìýãìãûïãññ ,2015-6-19,ì
20,15,1,íçÿýðúæýóïùìêéåðçì,2013-9-27,2200,12,ýïîÿñæúâçôæøéçà,2013-1-14,æ
21,9,10,ò÷ïòùæöîû ôêïíãùåõðèþ,2014-10-11,3423,12,ùìùýóòöð øíùûî,2014-9-5,ì
22,26,9,àñðòåååä ýøõö÷àéä,2015-11-1,2462,14,êøëâÿõöâòæëõ,2013-7-24,ì
23,9,3,áõñþüðâÿöøôèûýÿÿáñùàðåñàô,2015-7-19,3714,7,àùéûýäíæâáþî,2013-10-11,æ
24,5,10,àìãë÷ôãáöøòíøïêñ,2016-10-10,4,18,ôäàêé÷ëùèêéàðïìõâ,2016-8-20,æ
25,10,10,êüíáÿâéùþãìæûãíû,2013-5-3,1031,9,ÿûòáö÷øîòöðëóç,2013-7-1,æ
26,3,8,õþàæþèüæö÷éþåûûõúûþëá÷ñý,2015-6-11,3166,1,äçôÿôïåáôûàåô,2016-7-11,ì
27,21,2,þôïáòéþûêâþïíõü,2013-12-27,871,18,ùå÷áäøêïêüüæï öàåâ,2014-10-26,æ
28,34,4,ýñûóýýñþééüøìúä,2016-12-10,2327,3,àãæðô÷èîóúêáãþñàôàûå,2016-2-19,æ
29,18,1,óìõúôñðóÿý ýàìëÿëò÷,2014-9-19,1735,11,÷íåâïñúîèìÿ,2013-8-13,ì
30,18,4,äìøýìøóòõöúèõø÷âúæüæç÷èó,2016-7-17,1193,13,éûùïíðùüïûêóýòñäçþã,2014-3-1,ì
31,23,9,ø÷ûñõþòîðëé÷ùã,2013-3-3,2611,20,áôëòõàéâäïøáð÷îùæûø,2013-12-21,ì
32,38,7,êæäùìûôáãðãîðëöìïâø,2016-3-9,2753,20,öøìá÷ÿ÷äæäàìðèþ ,2015-6-2,æ
33,37,5,ùêüãðîõüïïåäðè,2015-12-28,3394,1,ýååõåøïðøããåë,2014-7-18,æ
34,26,5,íéó êÿÿóäéæëòäáêóêáóûýì,2015-12-13,4614,1,ýÿýäøéîçýçîäíñâèÿ,2015-4-9,ì
35,20,9,íùéúíâ üãûäïñíé ýçíííåú,2015-6-6,4287,20,ÿèëõïàìùþüæû âýî ôöç,2015-11-9,ì
36,12,7, ààóäí ÷äâöûõûô÷óâãóä úìó,2016-10-4,1085,19,ëçåíôôäçøÿøêåçóçûïåê,2013-7-10,ì
37,23,8,äý÷àíùòÿãààþùë÷üûãõüúäá,2013-7-17,3343,14,éòûòíñøáùìðþóåðöòðëû,2013-4-5,ì
38,16,6,ùýïùìòìðíðñúõæñîïûÿðëò,2015-3-22,4097,1,ñãîôèðúçèáùöóáó,2016-7-12,ì
39,22,3,èîë÷ìüøâõáð÷âáê è,2014-6-13,3753,14,ïíòóâçïáêâû,2013-6-7,æ
40,8,5,åéåæ÷ ñúàúðøôûþüý÷,2015-12-24,2196,14, ìõæî÷ìÿúïý ,2016-6-7,æ
41,38,9,ûíðçúùåúîôåêÿäâþö á,2014-10-19,495,2,àìîãûúàðøïûä÷òìïöõ,2013-4-22,ì
42,5,2,àèâøãäéüãèýîòóìáïùûçõéï,2014-4-15,4561,17,àíâüéæàèãáéîâü,2014-5-4,æ
43,18,2,ùööïàøúùàÿøçûðëòíõæåûìíèå,2014-6-12,681,4,ô ìáýæýëíàýóîìì,2014-4-19,æ
44,24,4,ô÷ýüéüüþòó ïíêüùôæë,2015-5-2,1705,15,ÿôûù é÷þýóåöïüÿêð,2016-4-7,æ
45,9,2,÷ôýèàîÿ÷öýçíùàç,2013-4-3,2319,13,íâúøçòâàõíöâýåÿçþðé,2015-3-26,ì
46,8,3,ñøíïãùà þ÷óëòåö,2015-11-26,3941,8,êøâïãþèéïøà,2015-6-3,æ
47,33,5,áàôîûèýðþ÷ÿïôüêä,2016-5-4,3053,4,âìüðûí õèâàüëåæýçâ,2016-4-2,æ
48,23,3,ðãîàâîí÷äëãîá ûâëê÷øúóã,2013-7-21,4864,8,òîêìèòøøòêìêáùì,2014-7-4,æ
49,11,3,é éíóçúö àõýùî,2014-6-13,2209,18,ìçæê÷øäþïþÿúèâóçç,2013-1-16,ì
50,39,1, ô÷ÿíòõøëîìúæâãýêþöîùàù,2015-4-6,548,14,÷þèéûý ñ÷ç âòÿüêéô,2015-10-13,æ
51,4,4,äùìíéùèæá îèæãýðþäöîóï,2016-9-16,1474,16,êàø÷ãýç÷ù÷úéüã,2013-1-27,ì
52,36,2,ýöãóÿú èãýìúöçø,2014-9-21,885,9,àêúêíéýõíüìø÷õ,2016-8-9,ì
53,2,8,áàüïäìã÷êçêúâïå,2015-2-13,4539,8,ýãùîóæåüæêðïðý,2014-9-11,æ
54,23,9,ìôäïãáæìöôòêêäûúùêíèôþ,2013-4-13,4016,18,á çÿýýùíòôùçî,2013-4-28,ì
55,10,2,úýèæçõëóïçíñõü,2015-2-10,38,11,ùâýüúùþ÷ãåçøùýò÷ëæ,2015-8-6,æ
56,15,1,íéèìÿùù âøøóÿþû,2015-1-12,4318,11,äïâìüòúìøæãíèðáí,2015-2-5,ì
57,17,10,ôû üôòë áòæôè îüäûõýüÿÿí,2016-7-15,1124,8,üüáâêþèòóåæÿø,2015-1-20,æ
58,27,2,ìäãøÿúíçéáìÿöâ,2016-7-14,3440,4,ùýôäúñýðþãêûáá÷áì ,2015-3-4,ì
59,34,6,åéçééãáî÷éóçóçø÷æï,2013-3-11,1320,14,âûôéàóùú óæéú,2015-7-10,ì
60,21,2,õî÷èçïÿâíûàêôøûÿà,2013-11-25,4561,4,êýííëèýï÷êáçí÷âä,2016-6-24,æ
61,11,9, òöûçïëöýõ äøîýóäòâ÷,2014-11-23,2157,2,ûòøäìûüáñáìåô,2014-2-26,æ
62,21,1,í ñìéôöáýëæìçøêô÷ãý,2013-1-5,1853,19,èññäñøòé îåêà  òñÿõõ,2015-10-6,ì
63,9,3,áîàðàäïûñùæõìåç,2015-2-20,2258,14,ì ð÷æáúäùîöäýçèèó,2013-3-22,ì
64,10,7,þÿøïãöíøôëûúüïäûýáõèú,2015-6-13,1768,5,áëåîùîíöøþëóôøúóìý÷,2016-10-28,ì
65,8,10,èæòêúãüýïíüôþûãìëø,2013-7-23,4248,20,ùðâåèýëóùõçå÷èû,2016-5-5,æ
66,36,5,ëè÷áõðìîûÿýêöú ìàÿ÷,2015-12-26,2837,3,ûçáìý éèòôæôáéò,2015-7-21,ì
67,26,6,ìàøú÷éãûèíåìãá,2014-1-26,3032,17,ïæéþéç ùéûàòâ íáúùîù,2014-3-22,ì
68,19,7,êöñ ðòêóéøëò÷îûùð÷îõîïè,2013-2-24,3042,1,ë÷íüñüòõûèåå æäàêï÷,2015-7-7,æ
69,3,2,ùøòüàìäîöòÿþïõãýÿ,2013-2-16,403,15,þëô éèûé ÷ñåïâüéð,2014-8-4,æ
70,29,9,ì÷ëüü ø üá÷êèïøäó,2013-5-8,3751,20,ðèç óâêãòå íüûéóâêû,2015-5-21,ì
71,26,10,øüÿïóóýðøóòîÿÿâìâçóûö,2014-5-14,2397,5,ý ðôàïâõøþöæ,2016-4-6,ì
72,39,1,çìáÿíèêìíããùìóüçãõ,2014-4-1,106,12,óì ë ö âïüùâ,2014-4-8,ì
73,31,8,ÿèöç èùúóùù øüòôëëéù÷,2016-11-7,4468,19,ûïàúóþåýåäì,2015-2-1,ì
