ID_Client,ID_Location,ID_ClientCategory,FIO,Register_Date,MoneySpent,Purchases_Count,Adress,Birthday,Sex
0,3,9,הבלצמעניססûיכףז,2016-1-24,4604,2,ה‏םüזקח‏ףעםטדûכזÿ,2016-3-10,ז,
1,24,4,‎פכüצץוûףםיךüûמעאת,2013-3-1,2648,6,עיעצ‏‎יüםןפעהאז,2013-12-17,ל,
2,31,3,בגצגס‎בכÿתנךשגשע‎י,2013-5-27,829,17,יאעךילףÿחצÿפצ‏םüמ,2015-4-8,ז,
3,28,5,יןבםס‏‎üצעעז‎נ,2013-12-3,1655,10,טשלףכיע‏ףפ‏,2013-1-26,ל,
4,34,4,ש‏ץןעגפלןףנםטףןץזש‎ךו,2013-12-8,600,9,המÿנאפבם‏ûו,2014-4-4,ז,
5,26,9,נעתהפמסו‏יץרזךהצף,2015-6-7,1191,15,פקךךנקטצתצûס,2014-7-17,ל,
6,3,4,ûודוüפוףרטמכץואש‎קחךשצם,2013-11-2,3757,12,יךשוטבאפסûךוסטבלצי,2016-4-12,ל,
7,35,2,‎תץבûבא‏יטתחזגץפÿתחשדסץנ,2013-9-2,4313,16,ז‏מבנü‏שסÿגוגלûפחור,2015-3-14,ז,
8,5,7,צרגדסזÿתים‏גאצע,2013-12-18,3070,7,‏סםמדלטב‏א‎כג,2016-12-22,ז,
9,14,8,ווûטביוחלמזצטüףטם,2015-3-23,235,13,אנûץזל‏חרףםנ‏ג‏ûגזב,2016-9-11,ל,
10,21,5,חפזעץךûטףכזüץך‏‎ÿיךבû,2014-9-28,3520,2,ûפשםףםנהתפזזףףככבנ,2015-9-5,ז,
11,27,8,ופסמךםןץנךחÿר‎פםפשחשגüü,2014-1-2,1540,11,דהרזחץלנתםמםשח‎ס,2013-3-22,ל,
12,4,4,יחבוץÿהרÿץגאז‏לסבהףן,2016-12-16,67,8,ךן‏ךןץןףבץמת‏וח,2015-11-20,ז,
13,26,9,זפיאיעפילםבןקצזû‎טזר,2016-1-18,40,13,טעגשפנחסקטרםעי‎,2015-2-6,ל,
14,10,2,תןקרץנץקץÿאלםםפשכדוסטוצש‎,2016-8-10,3992,4,אןמüûפûגךךןחüקוחךûע,2016-10-13,ל,
15,37,6,חנךנמץןדן‏ךןננûט,2014-12-14,3712,6,י‏חבבטסלםה‏‏,2014-4-21,ל,
16,9,5,דםןקחנשÿ‎üחדטÿ‎,2014-4-10,4681,8,אüו‏גרגעםכצפלûרןףג,2014-7-26,ז,
17,32,8,ÿב‏נכצצדבדשץררכלמכשמüü,2013-3-19,1173,9,סעפןםץהנץ‏ךאüאצג,2016-4-12,ל,
